id_subid,prism_filepath,prism_redshift,grating_filepaths,grating_redshifts,file_count,available_filters,filter_g140m-f100lp_filepath,filter_g235m-f170lp_filepath,filter_g235h-f170lp_filepath,filter_g395h-f290lp_filepath,filter_g395m-f290lp_filepath,filter_g140m-f070lp_filepath,filter_g140h-f070lp_filepath,filter_g140h-f100lp_filepath
4233_47528,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_47528.spec.fits,0.8183,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_47528.spec.fits'},{'g395m-f290lp': None},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_47528.spec.fits,,,
4233_45479,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_45479.spec.fits,1.6552,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45479.spec.fits'},{'g395m-f290lp': <Quantity 1.655>},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45479.spec.fits,,,
4233_54225,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_54225.spec.fits,2.326,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_54225.spec.fits'},{'g395m-f290lp': None},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_54225.spec.fits,,,
4233_63883,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_63883.spec.fits,0.4028,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_63883.spec.fits'},{'g395m-f290lp': None},2,"g395m-f290lp, prism-clear",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_63883.spec.fits,,,
4233_57121,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_57121.spec.fits,3.4997,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_57121.spec.fits'},{'g395m-f290lp': <Quantity 3.4999>},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_57121.spec.fits,,,
4233_45469,,,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45469.spec.fits'},{'g395m-f290lp': <Quantity 5.9169>},1,g395m-f290lp,,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45469.spec.fits,,,
4233_48398,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_48398.spec.fits,3.8575,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_48398.spec.fits'},{'g395m-f290lp': <Quantity 3.8573>},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_48398.spec.fits,,,
4233_58868,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_58868.spec.fits,0.0447,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_58868.spec.fits'},{'g395m-f290lp': None},2,"g395m-f290lp, prism-clear",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_58868.spec.fits,,,
4233_b125,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_b125.spec.fits,4.0859,{},{},1,prism-clear,,,,,,,,
4233_53347,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_53347.spec.fits,4.1255,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_53347.spec.fits'},{'g395m-f290lp': <Quantity 4.1333>},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_53347.spec.fits,,,
4233_64729,,,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_64729.spec.fits'},{'g395m-f290lp': <Quantity 7.6946>},1,g395m-f290lp,,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_64729.spec.fits,,,
4233_b55,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_b55.spec.fits,5.3794,{},{},1,prism-clear,,,,,,,,
4233_40355,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_40355.spec.fits,0.1991,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_40355.spec.fits'},{'g395m-f290lp': None},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_40355.spec.fits,,,
4233_65397,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_65397.spec.fits,1.191,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_65397.spec.fits'},{'g395m-f290lp': None},2,"g395m-f290lp, prism-clear",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_65397.spec.fits,,,
4233_53330,,,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_53330.spec.fits'},{'g395m-f290lp': <Quantity 4.6023>},1,g395m-f290lp,,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_53330.spec.fits,,,
4233_57710,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_57710.spec.fits,3.1803,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_57710.spec.fits'},{'g395m-f290lp': None},2,"prism-clear, g395m-f290lp",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_57710.spec.fits,,,
4233_41630,,,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_41630.spec.fits'},{'g395m-f290lp': <Quantity 3.6956>},1,g395m-f290lp,,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_41630.spec.fits,,,
4233_62844,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_62844.spec.fits,6.2245,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_62844.spec.fits'},{'g395m-f290lp': <Quantity 2.4004>},2,"g395m-f290lp, prism-clear",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_62844.spec.fits,,,
4233_45079,,,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45079.spec.fits'},{'g395m-f290lp': <Quantity 2.1849>},1,g395m-f290lp,,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_45079.spec.fits,,,
