lam flux_nu eflux_nu eflux_nu_lines eflux_nu_spread
2570.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2580.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2590.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2600.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2610.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2620.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2630.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2640.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2650.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2660.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2670.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2680.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2690.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2700.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2710.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2720.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2730.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2740.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2750.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2760.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2770.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2780.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2790.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2800.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2810.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2820.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2830.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2840.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2850.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2860.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2870.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2880.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2890.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2900.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2910.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2920.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2930.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2940.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2950.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2960.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2970.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2980.000000000 0.066661394 0.123952079 0.123952079 0.480064338
2990.000000000 0.053193491 0.164014594 0.164014594 0.656058378
3000.000000000 0.043128575 0.153986510 0.153986510 0.615946040
3010.000000000 0.035456219 0.116929600 0.116929600 0.467718400
3020.000000000 0.035456219 0.106199837 0.106199837 0.424799346
3030.000000000 0.025847000 0.106199837 0.106199837 0.424799346
3040.000000000 -0.006460278 0.106199837 0.106199837 0.424799346
3050.000000000 0.035456219 0.129563405 0.129563405 0.518253619
3060.000000000 0.035456219 0.146444471 0.146444471 0.585777884
3070.000000000 -0.006460278 0.146444471 0.146444471 0.585777884
3080.000000000 -0.006460278 0.146444471 0.146444471 0.585777884
3090.000000000 -0.017171598 0.111986771 0.111986771 0.461733286
3100.000000000 0.000913946 0.112827723 0.112827723 0.478687488
3110.000000000 0.025566273 0.112827723 0.112827723 0.478687488
3120.000000000 0.002874719 0.120888270 0.120888270 0.512885493
3130.000000000 -0.017171598 0.116442225 0.116442225 0.507559890
3140.000000000 0.004251043 0.106304795 0.106304795 0.463371857
3150.000000000 -0.014387681 0.107939740 0.107939740 0.470498420
3160.000000000 0.004251043 0.107834552 0.107834552 0.470039913
3170.000000000 0.004251043 0.107201191 0.107201191 0.467279160
3180.000000000 0.004251043 0.104478421 0.104478421 0.455410881
3190.000000000 0.004251043 0.093068385 0.093068385 0.405675684
3200.000000000 -0.017171598 0.097534330 0.097534330 0.425142289
3210.000000000 -0.014531710 0.097534330 0.097534330 0.425142289
3220.000000000 0.004251043 0.121659770 0.121659770 0.530302641
3230.000000000 0.018516239 0.126587858 0.126587858 0.551783680
3240.000000000 0.047266061 0.114215761 0.114215761 0.497854962
3250.000000000 0.049039788 0.122670191 0.122670191 0.534706964
3260.000000000 0.050813514 0.150641577 0.150641577 0.656631410
3270.000000000 0.004251043 0.151734278 0.151734278 0.661394385
3280.000000000 0.004251043 0.110138769 0.110138769 0.480083765
3290.000000000 0.004251043 0.106150255 0.106150255 0.462698235
3300.000000000 0.041915163 0.102981499 0.102981499 0.448885946
3310.000000000 0.004251043 0.101632646 0.101632646 0.443006433
3320.000000000 0.004251043 0.098014851 0.098014851 0.427236829
3330.000000000 0.004251043 0.107734990 0.107734990 0.469605932
3340.000000000 -0.009881946 0.115469992 0.115469992 0.503322024
3350.000000000 0.004251043 0.116746158 0.116746158 0.508884703
3360.000000000 0.020296639 0.092073185 0.092073185 0.411763801
3370.000000000 0.066661394 0.083265078 0.083265078 0.381568521
3380.000000000 0.066661394 0.088090446 0.088090446 0.403681136
